INFO 2025-08-15 00:29:04,549 django.utils.autoreload 31012 5948 Watching for file changes with StatReloader
DEBUG 2025-08-15 00:29:04,550 django.utils.autoreload 31012 5948 Waiting for apps ready_event.
DEBUG 2025-08-15 00:29:06,358 django.utils.autoreload 31012 5948 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-08-15 00:29:06,387 django.utils.autoreload 31012 5948 Watching dir D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-08-15 00:29:06,388 django.utils.autoreload 31012 5948 Watching dir D:\Github\Hokkien-Mee-is-Black-and-Best\backend\locale with glob **/*.mo.
DEBUG 2025-08-15 00:29:06,388 django.utils.autoreload 31012 5948 Watching dir D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-08-15 00:29:06,391 django.utils.autoreload 31012 5948 Watching dir D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-08-15 00:29:06,391 django.utils.autoreload 31012 5948 Watching dir D:\Github\Hokkien-Mee-is-Black-and-Best\backend\api\locale with glob **/*.mo.
DEBUG 2025-08-15 00:29:06,391 django.utils.autoreload 31012 5948 Watching dir D:\Github\Hokkien-Mee-is-Black-and-Best\backend\mysite\locale with glob **/*.mo.
DEBUG 2025-08-15 00:29:06,637 django.db.backends 31012 15956 (0.015) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2025-08-15 00:29:06,657 django.db.backends 31012 15956 (0.016) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-08-15 00:29:06,905 django.utils.autoreload 31012 5948 File C:\Users\user\AppData\Local\Programs\Python\Python310\Lib\wsgiref\__init__.py first seen with mtime 1680626842.0
DEBUG 2025-08-15 00:29:06,905 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\io\parquet.py first seen with mtime 1755163074.2828765
DEBUG 2025-08-15 00:29:06,906 django.utils.autoreload 31012 5948 File C:\Users\user\AppData\Local\Programs\Python\Python310\Lib\html\__init__.py first seen with mtime 1680626842.0
DEBUG 2025-08-15 00:29:06,906 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\api_core\client_options.py first seen with mtime 1755163099.6524785
DEBUG 2025-08-15 00:29:06,907 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\api_core\operations_v1\operations_client.py first seen with mtime 1755163099.6695726
